int_id,date,Number_of_Hard_Brakes,Total_CO2,Number_of_Stops,Number_of_Vehicles,Average_Number_of_Hard_Brakes,Average_CO2,Average_Number_of_Stops,Total_length,Latitude,Longitude
1,2021-01-11,14,1493009.133,133,5420,0.002710363,289.042614,0.025748448,0.953018435,29.59946369,-98.47132495
5,2021-01-11,1,690676.5232,10,2945,0.000392534,271.1140693,0.003925341,0.865042289,29.36651031,-98.44943256
6,2021-01-11,2,156321.9303,1,1401,0.001827721,142.8564106,0.00091386,0.781055761,29.39514428,-98.38938683
7,2021-01-11,1,204671.4109,1,1364,0.000837319,171.3752808,0.000837319,0.875577582,29.35757176,-98.39960532
10,2021-01-11,3,87552.55775,0,1073,0.003463822,101.0888279,0.0,0.807171752,29.32018191,-98.54946202
11,2021-01-11,3,378305.6236,11,1888,0.001921848,242.3486822,0.007046777,0.826799385,29.35711875,-98.63143237
12,2021-01-11,4,541754.0097,17,2410,0.002172955,294.3018256,0.00923506,0.763821952,29.37494614,-98.63869355
13,2021-01-11,6,339628.4918,7,2798,0.002713597,153.6024946,0.003165864,0.790238415,29.39351406,-98.64833
14,2021-01-11,11,415949.0786,26,2659,0.005242283,198.2293347,0.01239085,0.789139724,29.39282027,-98.64819233
15,2021-01-11,32,645247.0935,109,3185,0.011967959,241.321586,0.04076586,0.839499515,29.38438789,-98.68988198
17,2021-01-11,3,860182.8148,11,3781,0.000874373,250.7068207,0.003206034,0.907440033,29.38696323,-98.47290397
18,2021-01-11,50,623298.378,21,3138,0.0180802,225.387187,0.007593684,0.881279838,29.40348703,-98.4808007
20,2021-01-11,10,307689.6399,49,1667,0.006434365,197.9787339,0.031528387,0.932306541,29.33576149,-98.62270311
21,2021-01-11,12,413539.0205,42,2178,0.006645609,229.01822,0.023259632,0.829065006,29.41250806,-98.58939799
22,2021-01-11,31,547738.6762,64,2057,0.015268966,269.7872039,0.031523027,0.987001401,29.37938574,-98.71192925
23,2021-01-11,5,219720.3595,1,1666,0.003095905,136.0466578,0.000619181,0.969409847,29.45805239,-98.40406396
24,2021-01-11,31,468038.6929,105,2550,0.013186414,199.0887779,0.044663661,0.921923312,29.45407879,-98.40516712
25,2021-01-11,10,1661694.857,47,5711,0.001874071,311.4133443,0.008808132,0.934333449,29.46340389,-98.47564358
26,2021-01-11,65,1321610.366,131,4636,0.014627614,297.4154869,0.029480269,0.958509518,29.4687452,-98.47494842
27,2021-01-11,13,1283598.233,27,4823,0.003163585,312.3671057,0.006570523,0.852013655,29.46905414,-98.47496888
28,2021-01-11,23,672753.2493,135,5166,0.00549705,160.7894749,0.032265291,0.809923099,29.52065028,-98.50496245
29,2021-01-11,14,921533.8554,15,3560,0.004035809,265.6524592,0.004324081,0.974422843,29.45162797,-98.48367869
30,2021-01-11,24,678685.5214,68,3060,0.009044361,255.7615365,0.02562569,0.867185336,29.6012578,-98.41058347
31,2021-01-11,12,824599.5676,16,4671,0.002930837,201.3972093,0.003907782,0.876556243,29.43337961,-98.47864707
32,2021-01-11,20,972259.1987,1127,4000,0.005618712,273.1422093,0.316614407,0.889883699,29.47752847,-98.60797059
33,2021-01-11,17,1264586.824,85,5797,0.003267974,243.0962615,0.016339868,0.897360755,29.48230012,-98.60153836
34,2021-01-11,24,1110379.628,925,5584,0.005175164,239.4331874,0.19945944,0.830504,29.4840566,-98.59588744
35,2021-01-11,28,914352.7284,146,4646,0.007070721,230.8976197,0.036868761,0.852344384,29.4872958,-98.58672791
36,2021-01-11,17,546589.0079,114,4251,0.006184249,198.8378012,0.041470847,0.646652315,29.48851287,-98.58315048
37,2021-01-11,20,789580.3002,708,4277,0.006368291,251.4138442,0.225437491,0.734290426,29.48842418,-98.5829181
38,2021-01-11,29,954976.9855,780,4233,0.007200143,237.1024287,0.193659007,0.951499653,29.48933407,-98.57915137
39,2021-01-11,25,889752.2184,87,4813,0.00570506,203.0436044,0.01985361,0.910466359,29.48964245,-98.5738725
40,2021-01-11,1,60499.19553,36,1355,0.000781586,47.28531809,0.028137092,0.944243469,29.33122459,-98.62088816
41,2021-01-11,1,384261.2403,5,1595,0.00065755,252.6710724,0.003287751,0.953477324,29.53742744,-98.41690425
42,2021-01-11,20,462885.3451,40,1774,0.011877139,274.8876774,0.023754278,0.949214894,29.54713201,-98.44178202
44,2021-01-11,1,213729.4582,6,2498,0.000543285,116.1161132,0.003259713,0.736850632,29.42235934,-98.6494945
45,2021-01-11,17,1683986.64,151,6548,0.002742997,271.7158941,0.024364267,0.946487598,29.51707653,-98.52655943
46,2021-01-11,14,1436348.795,28,5958,0.002493196,255.7927411,0.004986391,0.942477953,29.5114032,-98.53546826
47,2021-01-11,19,1342572.397,28,6030,0.003481768,246.0276748,0.005131027,0.904974703,29.51890875,-98.52156842
