deviceId,journeyId,date,time,lat,lon,postal_code,speed,heading,odometer,event_type,event,epoch_time
f12264dd-9c72-42c1-9c12-01a5bc8724f4-25-1,e66352171ebce0cfdc6c43c19cd465b96e0e8a58,11/1/2021,0:11:22,29.44439,-98.732841,78253,21.12,233.6,791,ACCELERATION_CHANGE,HARD_BRAKE,1635725482
9936a734-0138-437b-9520-35fbec9c420f-18-1,e66352171ebce0cfdc6c43c19cd465b96e0e8a58,11/1/2021,0:12:14,29.445891,-98.733933,78253,6.08,106.9,791,ACCELERATION_CHANGE,HARD_BRAKE,1635725534
eaae3072-3923-4999-a1eb-2064daff1616-17-1,e66352171ebce0cfdc6c43c19cd465b96e0e8a58,11/1/2021,0:15:13,29.445904,-98.732734,78253,5.76,34.7,791,ACCELERATION_CHANGE,HARD_BRAKE,1635725713
9850986e-be7e-4656-ba27-96f2257d1569-40-1,e66352171ebce0cfdc6c43c19cd465b96e0e8a58,11/1/2021,0:17:36,29.447446,-98.718426,78253,32,70.8,793,ACCELERATION_CHANGE,HARD_BRAKE,1635725856
9850986e-be7e-4656-ba27-96f2257d1569-41-1,e66352171ebce0cfdc6c43c19cd465b96e0e8a58,11/1/2021,0:17:37,29.447467,-98.718353,78253,22.72,72.3,793,ACCELERATION_CHANGE,HARD_BRAKE,1635725857
9850986e-be7e-4656-ba27-96f2257d1569-42-1,e66352171ebce0cfdc6c43c19cd465b96e0e8a58,11/1/2021,0:17:38,29.44748,-98.718308,78253,9.28,77.4,793,ACCELERATION_CHANGE,HARD_BRAKE,1635725858
debca298-0efb-4d2e-85cb-432add88b171-1-1,e66352171ebce0cfdc6c43c19cd465b96e0e8a58,11/1/2021,0:25:57,29.393511,-98.659311,78236,71.68,66.2,805,ACCELERATION_CHANGE,HARD_BRAKE,1635726357
901c8b8f-63d3-4366-8816-e31fbfe27179-27-1,e66352171ebce0cfdc6c43c19cd465b96e0e8a58,11/1/2021,0:29:23,29.386179,-98.684603,78245,48.96,254.5,809,ACCELERATION_CHANGE,HARD_BRAKE,1635726563
901c8b8f-63d3-4366-8816-e31fbfe27179-28-1,e66352171ebce0cfdc6c43c19cd465b96e0e8a58,11/1/2021,0:29:24,29.386149,-98.684721,78245,36.8,254,809,ACCELERATION_CHANGE,HARD_BRAKE,1635726564
5adc708c-4ff6-42e3-b245-790661f325d6-21-1,e66352171ebce0cfdc6c43c19cd465b96e0e8a58,11/1/2021,0:30:17,29.386046,-98.6879,78245,14.72,258.9,809,ACCELERATION_CHANGE,HARD_BRAKE,1635726617
